        size,          ops,         time,      op/time
      131072,            0,     0.000308,            0
      262144,            0,     0.000419,            0
      393216,            0,     0.000105,            0
      524288,            0,     0.000201,            0
      655360,            0,     0.000063,            0
      786432,            0,     0.000139,            0
      917504,            0,     0.000047,            0
     1048576,            0,     0.000040,            0
     1179648,            0,     0.000084,            0
     1310720,            0,     0.000075,            0
     1441792,            0,     0.000068,            0
     1572864,            0,     0.000062,            0
     1703936,            0,     0.000058,            0
     1835008,            0,     0.000054,            0
     1966080,            0,     0.000052,            0
     2097152,            0,     0.000054,            0
     2228224,            0,     0.000045,            0
     2359296,            0,     0.000051,            0
     2490368,            0,     0.000048,            0
     2621440,            0,     0.000054,            0
     2752512,            0,     0.000044,            0
     2883584,            0,     0.000041,            0
     3014656,            0,     0.000040,            0
     3145728,            0,     0.000041,            0
     3276800,            0,     0.000037,            0
     3407872,            0,     0.000036,            0
     3538944,            0,     0.000037,            0
     3670016,            0,     0.000034,            0
     3801088,            0,     0.000032,            0
     3932160,            0,     0.000032,            0
     4063232,            0,     0.000031,            0
     4194304,            0,     0.000030,            0
     4325376,            0,     0.000029,            0
     4456448,            0,     0.000028,            0
     4587520,            0,     0.000028,            0
     4718592,            0,     0.000071,            0
     4849664,            0,     0.000027,            0
     4980736,            0,     0.000029,            0
     5111808,            0,     0.000028,            0
     5242880,            0,     0.000027,            0
     5373952,            0,     0.000027,            0
     5505024,            0,     0.000025,            0
     5636096,            0,     0.000024,            0
     5767168,            0,     0.000028,            0
     5898240,            0,     0.000024,            0
     6029312,            0,     0.000025,            0
     6160384,            0,     0.000023,            0
     6291456,            0,     0.000021,            0
     6422528,            0,     0.000021,            0
     6553600,            0,     0.000022,            0
     6684672,            0,     0.000022,            0
     6815744,            0,     0.000020,            0
     6946816,            0,     0.000020,            0
     7077888,            0,     0.000020,            0
     7208960,            0,     0.000021,            0
     7340032,            0,     0.000020,            0
     7471104,            0,     0.000019,            0
     7602176,            0,     0.000019,            0
     7733248,            0,     0.000021,            0
     7864320,            0,     0.000018,            0
     7995392,            0,     0.000020,            0
     8126464,            0,     0.000018,            0
     8257536,            0,     0.000018,            0
