        size,          ops,         time,      time/op
           2,            0,     0.000040,          inf
           4,            0,     0.000051,          inf
           6,            0,     0.000038,          inf
           8,            0,     0.000042,          inf
          10,            0,     0.000043,          inf
          12,            0,     0.000043,          inf
          14,            0,     0.000040,          inf
          16,            0,     0.000034,          inf
          18,            0,     0.000035,          inf
          20,            0,     0.000035,          inf
          22,            0,     0.000037,          inf
          24,            0,     0.000036,          inf
          26,            0,     0.000037,          inf
          28,            0,     0.000037,          inf
          30,            0,     0.000036,          inf
          32,            0,     0.000038,          inf
          34,            0,     0.000046,          inf
          36,            0,     0.000036,          inf
          38,            0,     0.000035,          inf
          40,            0,     0.000039,          inf
          42,            0,     0.000036,          inf
          44,            0,     0.000036,          inf
          46,            0,     0.000038,          inf
          48,            0,     0.000035,          inf
          50,            0,     0.000035,          inf
          52,            0,     0.000037,          inf
          54,            0,     0.000036,          inf
          56,            0,     0.000036,          inf
          58,            0,     0.000038,          inf
          60,            0,     0.000039,          inf
          62,            0,     0.000040,          inf
          64,            0,     0.000035,          inf
          66,            0,     0.000037,          inf
          68,            0,     0.000036,          inf
          70,            0,     0.000034,          inf
          72,            0,     0.000036,          inf
          74,            0,     0.000035,          inf
          76,            0,     0.000034,          inf
          78,            0,     0.000038,          inf
          80,            0,     0.000037,          inf
          82,            0,     0.000035,          inf
          84,            0,     0.000037,          inf
          86,            0,     0.000034,          inf
          88,            0,     0.000038,          inf
          90,            0,     0.000035,          inf
          92,            0,     0.000037,          inf
          94,            0,     0.000041,          inf
          96,            0,     0.000035,          inf
          98,            0,     0.000035,          inf
         100,            0,     0.000035,          inf
         102,            0,     0.000038,          inf
         104,            0,     0.000035,          inf
         106,            0,     0.000035,          inf
         108,            0,     0.000037,          inf
         110,            0,     0.000038,          inf
         112,            0,     0.000036,          inf
         114,            0,     0.000036,          inf
         116,            0,     0.000058,          inf
         118,            0,     0.000040,          inf
         120,            0,     0.000039,          inf
         122,            0,     0.000038,          inf
         124,            0,     0.000038,          inf
         126,            0,     0.000038,          inf
         128,            0,     0.000033,          inf
         130,            0,     0.000034,          inf
         132,            0,     0.000036,          inf
         134,            0,     0.000035,          inf
         136,            0,     0.000047,          inf
         138,            0,     0.000036,          inf
         140,            0,     0.000039,          inf
         142,            0,     0.000037,          inf
         144,            0,     0.000038,          inf
         146,            0,     0.000038,          inf
         148,            0,     0.000034,          inf
         150,            0,     0.000034,          inf
         152,            0,     0.000035,          inf
         154,            0,     0.000035,          inf
         156,            0,     0.000036,          inf
         158,            0,     0.000037,          inf
         160,            0,     0.000036,          inf
         162,            0,     0.000037,          inf
         164,            0,     0.000036,          inf
         166,            0,     0.000039,          inf
         168,            0,     0.000039,          inf
         170,            0,     0.000037,          inf
         172,            0,     0.000034,          inf
         174,            0,     0.000034,          inf
         176,            0,     0.000035,          inf
         178,            0,     0.000035,          inf
         180,            0,     0.000038,          inf
         182,            0,     0.000035,          inf
         184,            0,     0.000035,          inf
         186,            0,     0.000036,          inf
         188,            0,     0.000036,          inf
         190,            0,     0.000037,          inf
         192,            0,     0.000037,          inf
         194,            0,     0.000037,          inf
         196,            0,     0.000040,          inf
         198,            0,     0.000043,          inf
         200,            0,     0.000039,          inf
         202,            0,     0.000040,          inf
         204,            0,     0.000041,          inf
         206,            0,     0.000036,          inf
         208,            0,     0.000034,          inf
         210,            0,     0.000035,          inf
         212,            0,     0.000034,          inf
         214,            0,     0.000035,          inf
         216,            0,     0.000036,          inf
         218,            0,     0.000040,          inf
         220,            0,     0.000037,          inf
         222,            0,     0.000040,          inf
         224,            0,     0.000036,          inf
         226,            0,     0.000037,          inf
         228,            0,     0.000038,          inf
         230,            0,     0.000040,          inf
         232,            0,     0.000037,          inf
         234,            0,     0.000038,          inf
         236,            0,     0.000039,          inf
         238,            0,     0.000038,          inf
         240,            0,     0.000039,          inf
         242,            0,     0.000042,          inf
         244,            0,     0.000040,          inf
         246,            0,     0.000041,          inf
         248,            0,     0.000040,          inf
         250,            0,     0.000094,          inf
         252,            0,     0.000041,          inf
         254,            0,     0.000042,          inf
         256,            0,     0.000035,          inf
